user_id,element_id,start_date,end_date
34,16,2021-09-25 11:09:37.213894,2021-09-25 11:27:20.755200
49,112,2020-10-29 20:22:45.013492,2020-10-30 07:10:38.032474
49,113,2020-10-30 04:44:30.571829,2020-10-31 23:59:28.954840
49,115,2020-11-05 08:19:17.699545,2020-11-06 08:23:32.090830
49,116,2020-11-05 10:35:04.627882,2020-11-07 07:03:07.125652
38,7,2020-12-24 23:23:37.044455,2020-12-25 06:47:41.269636
38,19,2020-05-10 14:45:38.115565,2020-05-12 13:29:18.399691
38,20,2020-05-09 18:20:01.487227,2020-05-11 11:39:28.048035
12,16,2019-12-26 04:19:56.252653,2019-12-27 04:48:29.352984
12,17,2019-12-25 20:58:08.956980,2019-12-25 23:45:24.366135
12,43,2022-05-04 02:16:08.992305,2022-05-04 19:34:48.175342
12,44,2022-05-03 12:16:02.401679,2022-05-03 15:18:14.111891
12,45,2022-05-05 12:17:05.826272,2022-05-06 10:04:28.243992
12,46,2022-05-09 18:19:27.978907,2022-05-10 00:35:47.974817
12,47,2022-05-09 19:05:29.009110,2022-05-11 00:07:31.461327
12,48,2022-05-09 13:43:51.476924,2022-05-09 14:22:08.473189
5,73,2021-03-14 04:52:07.393664,2021-03-15 22:09:27.446999
5,74,2021-03-13 18:00:17.796571,2021-03-15 10:54:30.959164
3,16,2019-11-19 21:43:22.135727,2019-11-20 02:09:40.350115
3,17,2019-11-20 07:00:15.028222,2019-11-22 03:20:03.396821
3,61,2019-07-15 12:07:12.163557,2019-07-17 09:23:40.027535
3,62,2019-07-15 18:28:48.287720,2019-07-16 13:19:13.543364
3,63,2019-07-19 07:36:55.066761,2019-07-20 01:46:55.733863
3,19,2016-01-21 19:05:32.602940,2016-01-22 18:33:45.557702
3,20,2016-01-21 13:54:30.222976,2016-01-22 13:45:32.206397
3,21,2016-01-24 01:17:51.913991,2016-01-24 20:14:13.192559
3,23,2016-01-21 23:40:18.990959,2016-01-23 05:41:00.714136
3,24,2016-01-17 13:11:11.082003,2016-01-18 02:18:56.109648
3,67,2022-02-23 17:06:13.327848,2022-02-24 10:19:23.833732
3,68,2022-02-23 07:37:31.143866,2022-02-24 14:00:20.454433
3,70,2022-02-22 20:58:52.570746,2022-02-23 08:26:24.865569
3,71,2022-02-22 22:31:41.026631,2022-02-24 19:10:42.702766
0,19,2016-05-28 16:25:14.597467,2016-05-29 21:57:43.676691
0,21,2016-05-27 15:11:03.410439,2016-05-28 06:48:31.402878
0,23,2016-05-24 10:58:49.829335,2016-05-24 16:16:34.259696
0,24,2016-05-28 16:45:09.973635,2016-05-30 11:15:42.980211
0,25,2016-05-28 07:40:59.863302,2016-05-29 07:30:44.740212
0,16,2019-11-14 18:38:34.818342,2019-11-15 12:29:40.820254
0,87,2022-03-26 13:31:39.621278,2022-03-28 10:29:51.251097
10,0,2021-06-15 23:13:10.037532,2021-06-16 04:35:44.938074
10,1,2021-06-16 13:57:23.233386,2021-06-16 21:47:05.388147
10,7,2020-03-02 11:49:11.346746,2020-03-02 18:26:27.375093
28,50,2021-10-03 19:31:36.195740,2021-10-04 15:07:47.543730
28,51,2021-09-30 04:38:24.129637,2021-10-01 13:55:20.650466
28,26,2022-03-05 04:02:32.873528,2022-03-05 09:00:47.396008
28,27,2022-03-05 01:56:50.152681,2022-03-05 06:14:07.316525
28,28,2022-03-05 10:25:40.106296,2022-03-07 04:23:37.705115
28,29,2022-03-05 08:24:44.260518,2022-03-06 14:33:45.487962
28,7,2020-09-17 23:03:12.096067,2020-09-19 15:13:18.769944
28,8,2020-09-17 06:13:59.567278,2020-09-17 20:22:50.125166
1,43,2022-09-20 05:17:11.003072,2022-09-21 10:32:13.751246
42,26,2021-12-16 10:45:31.684070,2021-12-16 18:31:34.633495
42,27,2021-12-16 14:58:05.012726,2021-12-18 08:55:21.692310
42,28,2021-12-16 11:40:17.037472,2021-12-16 17:26:21.759148
42,29,2021-12-16 06:05:24.777094,2021-12-16 06:13:46.087246
42,30,2021-12-15 01:06:44.294719,2021-12-16 04:15:28.164727
42,31,2021-12-14 22:46:51.851255,2021-12-16 09:04:32.536067
35,73,2021-01-20 21:27:51.190890,2021-01-20 22:42:14.254096
35,74,2021-01-17 20:13:44.169455,2021-01-18 03:09:00.322017
35,75,2021-01-18 02:47:34.977330,2021-01-18 15:27:12.415022
35,76,2021-01-20 07:12:04.795950,2021-01-21 19:58:07.822530
15,26,2022-10-18 22:18:47.645047,2022-10-20 20:50:02.484697
